2018-06-16 15:02:27 INFO: connecting to the server 127.0.0.1:8888
2018-06-16 15:02:42 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:42 DEBUG: roomId 123 sendTemp: 7|123|0|20 -> server
2018-06-16 15:02:42 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:43 DEBUG: roomId 123 recvState: 9|123|1|22|20|1|2.7|1.35 <- server
2018-06-16 15:02:43 DEBUG: roomId 123 sendTemp: 7|123|0|21 -> server
2018-06-16 15:02:43 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:43 DEBUG: roomId 123 sendTemp: 7|123|0|22 -> server
2018-06-16 15:02:43 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:43 DEBUG: roomId 123 recvHalt: 10|123 <- server
2018-06-16 15:02:51 DEBUG: roomId 123 sendTempBack: 11|25 -> server
2018-06-16 15:02:52 DEBUG: roomId 123 recvState: 9|123|1|25|22|1|2.7|1.35 <- server
2018-06-16 15:02:53 DEBUG: roomId 123 recvState: 9|123|1|25|22|1|2.8|1.4 <- server
2018-06-16 15:02:54 DEBUG: roomId 123 recvState: 9|123|1|24|22|1|2.9|1.45 <- server
2018-06-16 15:02:55 DEBUG: roomId 123 recvState: 9|123|1|24|22|1|3.0|1.5 <- server
2018-06-16 15:02:55 DEBUG: roomId 123 sendTemp: 7|123|0|21 -> server
2018-06-16 15:02:55 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:55 DEBUG: roomId 123 sendTemp: 7|123|0|20 -> server
2018-06-16 15:02:55 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:55 DEBUG: roomId 123 sendTemp: 7|123|0|19 -> server
2018-06-16 15:02:55 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:55 DEBUG: roomId 123 sendTemp: 7|123|0|18 -> server
2018-06-16 15:02:55 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:55 DEBUG: roomId 123 sendTemp: 7|123|0|17 -> server
2018-06-16 15:02:55 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:56 DEBUG: roomId 123 recvState: 9|123|1|23|17|1|3.1|1.55 <- server
2018-06-16 15:02:57 DEBUG: roomId 123 recvState: 9|123|1|23|17|1|3.2|1.6 <- server
2018-06-16 15:02:57 DEBUG: roomId 123 sendSpeed: 5|123|0|2 -> server
2018-06-16 15:02:57 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:02:58 DEBUG: roomId 123 recvState: 9|123|1|22|17|2|3.3|1.65 <- server
2018-06-16 15:02:58 DEBUG: roomId 123 sendSpeed: 5|123|0|3 -> server
2018-06-16 15:02:58 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:02:59 DEBUG: roomId 123 recvState: 9|123|1|22|17|3|3.6|1.8 <- server
2018-06-16 15:02:59 DEBUG: roomId 123 sendSpeed: 5|123|0|2 -> server
2018-06-16 15:02:59 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:03:00 DEBUG: roomId 123 recvState: 9|123|1|19|17|2|3.9|1.95 <- server
2018-06-16 15:03:00 DEBUG: roomId 123 sendSpeed: 5|123|0|1 -> server
2018-06-16 15:03:00 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 sendTemp: 7|123|0|18 -> server
2018-06-16 15:03:01 DEBUG: roomId 123 recvState: 9|123|1|19|17|1|4.0|2.0 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 sendTemp: 7|123|0|18 -> server
2018-06-16 15:03:01 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 sendTemp: 7|123|0|19 -> server
2018-06-16 15:03:01 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 sendTemp: 7|123|0|20 -> server
2018-06-16 15:03:01 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 sendTemp: 7|123|0|21 -> server
2018-06-16 15:03:01 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 sendTemp: 7|123|0|22 -> server
2018-06-16 15:03:01 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:01 DEBUG: roomId 123 sendTemp: 7|123|0|23 -> server
2018-06-16 15:03:01 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:02 DEBUG: roomId 123 recvState: 9|123|1|18|23|1|4.1|2.05 <- server
2018-06-16 15:03:02 DEBUG: roomId 123 sendTemp: 7|123|0|24 -> server
2018-06-16 15:03:02 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:02 DEBUG: roomId 123 sendTemp: 7|123|0|25 -> server
2018-06-16 15:03:02 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:02 DEBUG: roomId 123 sendTemp: 7|123|0|26 -> server
2018-06-16 15:03:02 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:02 DEBUG: roomId 123 sendTemp: 7|123|0|27 -> server
2018-06-16 15:03:02 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:02 DEBUG: roomId 123 sendTemp: 7|123|0|28 -> server
2018-06-16 15:03:02 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:02 DEBUG: roomId 123 sendTemp: 7|123|0|29 -> server
2018-06-16 15:03:02 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:03 DEBUG: roomId 123 recvState: 9|123|1|18|29|1|4.2|2.1 <- server
2018-06-16 15:03:03 DEBUG: roomId 123 sendTemp: 7|123|0|30 -> server
2018-06-16 15:03:03 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:03 DEBUG: roomId 123 sendTemp: 7|123|0|29 -> server
2018-06-16 15:03:03 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:04 DEBUG: roomId 123 recvState: 9|123|1|19|29|1|4.3|2.15 <- server
2018-06-16 15:03:04 DEBUG: roomId 123 sendTemp: 7|123|0|28 -> server
2018-06-16 15:03:04 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:04 DEBUG: roomId 123 sendTemp: 7|123|0|27 -> server
2018-06-16 15:03:04 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:04 DEBUG: roomId 123 sendTemp: 7|123|0|26 -> server
2018-06-16 15:03:04 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:04 DEBUG: roomId 123 sendTemp: 7|123|0|25 -> server
2018-06-16 15:03:04 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:04 DEBUG: roomId 123 sendTemp: 7|123|0|24 -> server
2018-06-16 15:03:04 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:04 DEBUG: roomId 123 sendTemp: 7|123|0|23 -> server
2018-06-16 15:03:04 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:05 DEBUG: roomId 123 recvState: 9|123|1|19|23|1|4.4|2.2 <- server
2018-06-16 15:03:05 DEBUG: roomId 123 sendTemp: 7|123|0|22 -> server
2018-06-16 15:03:05 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:05 DEBUG: roomId 123 sendTemp: 7|123|0|21 -> server
2018-06-16 15:03:05 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:05 DEBUG: roomId 123 sendTemp: 7|123|0|20 -> server
2018-06-16 15:03:05 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:05 DEBUG: roomId 123 sendTemp: 7|123|0|19 -> server
2018-06-16 15:03:05 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:05 DEBUG: roomId 123 sendTemp: 7|123|0|18 -> server
2018-06-16 15:03:05 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:06 DEBUG: roomId 123 recvState: 9|123|1|20|18|1|4.5|2.25 <- server
2018-06-16 15:03:06 DEBUG: roomId 123 sendTemp: 7|123|0|17 -> server
2018-06-16 15:03:06 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:07 DEBUG: roomId 123 recvState: 9|123|1|20|17|1|4.6|2.3 <- server
2018-06-16 15:03:08 DEBUG: roomId 123 recvState: 9|123|1|19|17|1|4.7|2.35 <- server
2018-06-16 15:03:09 DEBUG: roomId 123 sendTemp: 7|123|0|18 -> server
2018-06-16 15:03:09 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:09 DEBUG: roomId 123 recvState: 9|123|1|19|18|1|4.8|2.4 <- server
2018-06-16 15:03:09 DEBUG: roomId 123 sendTemp: 7|123|0|19 -> server
2018-06-16 15:03:09 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:03:09 DEBUG: roomId 123 recvHalt: 10|123 <- server
